sentence	entity_01	entity_02	label
 함석헌 은 1901 년  평안북도 용천 에서 출생 했 다 . 	함석헌	평안북도	19
 토마스 만 은 평의원 이 며 곡물 상인 이 었 던 토마스 요한 하인리히 만 과 율리아 다 실바 브룬스 부부 사이 에서 두 번 째 아들 로 독일 의 뤼베크 에서 태어났 다 . 	토마스 만	뤼베크	19
 하인리히 뵐 ( Heinrich B ö ll , 쾰른 , 1917 년 12 월 21 일 - 랑엔브로이히 ( Langenbroich ) 1985 년 7 월 16 일 ) 은 독일 의 소설가 다 . 	하인리히 뵐	랑엔브로이히	19
 하인리히 뵐 ( Heinrich B ö ll , 쾰른 , 1917 년 12 월 21 일 - 랑엔브로이히 ( Langenbroich ) 1985 년 7 월 16 일 ) 은 독일 의 소설가 다 . 	하인리히 뵐	쾰른	19
노무현 은 ' 1986 년  부산광역시 에서 송기인 신부 로부터 영세 를 받 아 ' 유스토 ' 라는 세례명 을 얻 었 다 . ' 라고 소개 하 고 ' 하지만 열심히 신앙생활 도 못 하 고 성당 도 못 나가 프로필 쓸 때 종교란 에 ' 무교 ' 로 쓴 다 . ' 라고 고백 했 다 . 	송기인	부산광역시	19
 장국영 ( , , 1956 년 9 월 12 일 ~ 2003 년 4 월 1 일 ) 은 홍콩 의 가수 , 영화 배우 이 다 . 	장국영	홍콩	19
대수 ( algebra ) 의 어원 은 9 세기 의 페르시아 제국 의 수학자  콰리즈미 의 저서 인 《 약분 · 소거 계산 론 》 ( , 820 년 ) 에서 비롯 되 었 다 . 	콰리즈미	페르시아 제국	19
 빅토르 초이 는 1962 년 6 월 21 일 에 소련 의 상트페테르부르크 에서 출생 하 였 다 . 	빅토르 초이	상트페테르부르크	19
 빅토르 초이 는 1962 년 6 월 21 일 에 소련 의 상트페테르부르크 에서 출생 하 였 다 . 	빅토르 초이	소련	19
 빅토르 초이 는 상트페테르부르크 에 있 는 세로프 미술 전문학교 에 입학 였 으나 , 낮 은 성적 때문 에 1977 년 에 퇴학 처분 을 받 았 다 . 	빅토르 초이	상트페테르부르크	19
그러나 8 월 15 일 아침 소련 라트비아 소비에트 사회주의 공화국 투쿰스 에서 빅토르 초이 가 운전 하 던 차 가 마주 오 던 버스 와 충돌 하 였 고 그 사고 로 죽 고 말 았 다 . 	빅토르 초이	소련	19
처음 애국가 는 가사 에 스코틀랜드 가곡 인 〈 올드 랭 사인 ) 〉 ( 로버트 번스 작사 / 윌리엄 쉴드 작곡 ) 의 가락 을 붙여 서 불렀 다 . 	로버트 번스	스코틀랜드	19
노벨 물리학상 은 알프레드 노벨 의 사망일 인 12 월 10 일 에 스톡홀름 에서 수여 된 다 . 	알프레드 노벨	스톡홀름	19
 안익태 는 1906 년 평양직할시 에서 태어났 으며 , 대구종로초등학교 와 숭실고등학교 를 마쳤 다 . 	안익태	평양직할시	19
 고려 멸망 후 조선 이 천도 ( 1394 년 ) 한 후 인 조선 태종 때 인구 는 10 만 명 이 었 으며 이후 1900 년대 까지 20 만 명 선 을 유지 하 였 다 . 	조선 태종	고려	19
