sentence	entity_01	entity_02	label
카터 는 이집트 와 이스라엘 을 조정 하 여 , 캠프 데이비드 에서 안와르 사다트 대통령 과 메나헴 베긴 수상 과 함께 중동 평화 를 위한 캠프데이비드 협정 을 체결 했 다 . 	안와르 사다트	이집트	40
카터 는 이집트 와 이스라엘 을 조정 하 여 , 캠프 데이비드 에서 안와르 사다트 대통령 과 메나헴 베긴 수상 과 함께 중동 평화 를 위한 캠프데이비드 협정 을 체결 했 다 . 	메나헴 베긴	이스라엘	40
 함석헌 ( 咸錫憲 , 1901 년 3 월 13 일 ~ 1989 년 2 월 4 일 ) 은 대한민국 의 독립 운동가 , 종교인 , 언론인 , 출판인 이 며 기독교 운동가 , 시민 사회 운동가 였 다 . 	함석헌	대한민국	40
 백남준 ( 白南準 , , 1932 년 7 월 20 일 ~ 2006 년 1 월 29 일 ) 은 한국 태생 의 미국 미술 작가 , 작곡가 , 전위 예술가 이 다 . 	백남준	미국	40
8 월 23 일 - 김정일 조선민주주의인민공화국 국방 위원장 과 블라디미르 푸틴 러시아 대통령 블라디보스토크 에서 정상 회담 하 다 . 	김정일	조선민주주의인민공화국	40
2011 년 - 조선민주주의인민공화국 의 김정일 국방 위원장 의 사망 소식 이 보도 되 었 다 . ( 사망 은 12 월 17 일 ) 	김정일	조선민주주의인민공화국	40
1843 년 - 영국 의 소설가 찰스 디킨스 , 《 크리스마스 캐럴 》 출간 . 	찰스 디킨스	영국	40
1953 년  독일 민주 공화국 의 폭동 당시 베르톨트 브레히트 를 모델 로 하 여 예술 과 정치 의 관련 을 추구 한 작품 으로 < 독일 의 비극 > 이 있 다 . 	베르톨트 브레히트	독일 민주 공화국	40
 하인리히 뵐 ( Heinrich B ö ll , 쾰른 , 1917 년 12 월 21 일 - 랑엔브로이히 ( Langenbroich ) 1985 년 7 월 16 일 ) 은 독일 의 소설가 다 . 	하인리히 뵐	독일	40
또한 이 해 에 해외 특파원 으로서 중화민국 을 방문 하 였 고 , 베이징 을 방문 했 을 때 는 후스 ( 胡適 ) 를 만나 그 와 검열 의 문제 에 대해 서 토론 하 기 도 했 다 . 	후스	중화민국	40
 인도 의 물리학자 사티엔드라 나트 보스 의 이름 을 땄 다 . 	사티엔드라 나트 보스	인도	40
 오스트리아 의 물리학자  에르빈 슈뢰딩거 가 도입 하 였 고 , 그 가 발명 한 파동 역학 의 기본 방정식 이 다 . 	에르빈 슈뢰딩거	오스트리아	40
' 로봇 ' 이 란 용어 는 체코슬로바키아 의 극작가 카렐 차페크 ( Carel Č apek ) 가 1920 년 에 발표 한 희곡 ' R . U . R ' 에 쓴 것 이 퍼져 일반 적 으로 사용 되 게 되 었 다 . 	카렐 차페크	체코슬로바키아	40
Robot 이 라는 말 은 1920 년  체코슬로바키아 의 극작가 카렐 차페크 ( Karel Č apek ) 의 희곡 R . U . R . ( Rosuum ' s Universal Robots ) 에서 처음 사용 되 었 다 . 	카렐 차페크	체코슬로바키아	40
그러나 8 월 15 일 아침 소련  라트비아 소비에트 사회주의 공화국 투쿰스 에서 빅토르 초이 가 운전 하 던 차 가 마주 오 던 버스 와 충돌 하 였 고 그 사고 로 죽 고 말 았 다 . 	빅토르 초이	라트비아 소비에트 사회주의 공화국	40
한편 중국 국민당 은 장제스 의 지도하 에 현재 의 타이베이 시 로 정부 를 이전 하 여 지금 까지 중화민국 의 법통 이 계승 되 고 있 다 . 	장제스	중화민국	40
1919 년 4 월 10 일 임시 정부 의 첫 임시 의정원 회의 에서 국호 를 정하 기 위해 회의 를 할 때 신석우 선생 이 ' 대한민국 ' ( 大韓民國 ) 으로 국호 를 정하 자고 하 니 , 여운형 선생 이 ' 대한 ' 이 라는 이름 으로 나라 가 망했 는데 또 다시 ' 대한 ' 을 쓸 필요 가 있 느냐고 했 다 . 	신석우	대한민국	40
1919 년 4 월 10 일 임시 정부 의 첫 임시 의정원 회의 에서 국호 를 정하 기 위해 회의 를 할 때 신석우 선생 이 ' 대한민국 ' ( 大韓民國 ) 으로 국호 를 정하 자고 하 니 , 여운형 선생 이 ' 대한 ' 이 라는 이름 으로 나라 가 망했 는데 또 다시 ' 대한 ' 을 쓸 필요 가 있 느냐고 했 다 . 	여운형	대한민국	40
 대한민국 은 동해 를 사이 에 두 고 일본 열도 와 , 황해 를 사이 에 두 고 중화인민공화국 과 마주 하 며 , 육지 로 는 한반도 의 군사 분계선 을 사이 에 두 고 조선민주주의인민공화국 ( 북한 ) 과 맞닿 아 있 다 . 	황해	대한민국	40
윤치호 의 사촌 동생 윤치영 ( 尹致瑛 ) 에 의하 면 윤치호 가 대한민국 의 애국가 를 일부 작곡 했 다고 한 다 . 	윤치영	대한민국	40
첫 번 째 노벨 물리학상 은 1901 년 , 엑스선 을 발견 한 독일 의 빌헬름 콘라트 뢴트겐 에게 수여 되 었 다 . 	빌헬름 콘라트 뢴트겐	독일	40
 안익태 ( 安益泰 , 스페인 이름 : Eak - tai Ahn , 1906 년 12 월 5 일 ~ 1965 년 9 월 16 일 ) 는 한국 출신 의 스페인 작곡가 , 첼로 , 트럼펫 , 바이 올린 , 지휘 로 , 대한민국 의 국가 ( 國 歌 ) 인 애국가 를 작곡 했 으며 , 대표 작품 으로 한국환상곡 이 있 다 . 	안익태	스페인	40
 유카와 히데키 ( , 1907 년 1 월 23 일 ~ 1981 년 9 월 8 일 ) 는 일본 의 이론 물리학 자 이 다 . 	유카와 히데키	일본	40
 정몽헌 ( 鄭夢憲 , 1948 년 9 월 14 일 ~ 2003 년 8 월 4 일 ) 은 대한민국 의 기업 인 이 다 . 	정몽헌	대한민국	40
 네덜란드 수학자 라위트전 브라우어르 는 다음 과 같 은 질문 을 제기 하 였 다 . 	라위트전 브라우어르	네덜란드	40
1687 년 스위스 의 바젤 의 수학 교수 였 던 야코프 베르누이 와 요한 베르누이 형제 는 조화 급수 가 함수 의 극한 # 발산 한 다는 사실 을 증명 하 였 다 . 	야코프 베르누이	스위스	40
1687 년 스위스 의 바젤 의 수학 교수 였 던 야코프 베르누이 와 요한 베르누이 형제 는 조화 급수 가 함수 의 극한 # 발산 한 다는 사실 을 증명 하 였 다 . 	요한 베르누이	스위스	40
 정주영 ( 鄭周永 , 1915 년 11 월 25 일 ~ 2001 년 3 월 21 일 ) 은 현대그룹 을 창업 한 대한민국 의 기업 가 이 다 . 	정주영	대한민국	40
1873 년 프랑스 의 수학자  샤를 에르미트 에 의해 ' e ' 가 초월 수 임 이 증명 되 었 다 . 	샤를 에르미트	프랑스	40
4 월 27 일 - 아르헨티나 에서 카를로스 메넴 과 네스토르 키르치네르 가 대결 한 대통령 선거 2 차 투표 에서 메넴 이 24 . 14 % , 키르치네르 가 22 . 04 % 의 지지 를 얻 었 다 . 	네스토르 키르치네르	아르헨티나	40
12 월 13 일 - 이라크 전쟁 : 사담 후세인 이라크 전 대통령 이 체포 되 다 . 	사담 후세인	이라크	40
2 월 6 일 - 이스라엘 에서 총리 선거 가 실시 되 어 아리엘 샤론 이 당선 되 다 . 	아리엘 샤론	이스라엘	40
1947 년 - 인도 , 자와할랄 네루 를 총리 로 해 독립 하 다 . 	자와할랄 네루	인도	40
1997 년 - 대한민국 , 김영삼 대통령 , 광복절 기념 사 서 한반도 평화 정착 위한 4 대 원칙 발표 . 	김영삼	대한민국	40
1980 년 - 대한민국 , 김영삼 신민당 총재 , 정계 은퇴 발표 	김영삼	대한민국	40
 덩샤오핑 ( , 1904 년 8 월 22 일 ~ 1997 년 2 월 19 일 ) 은 중화인민공화국 의 정치가 이 다 . 	덩샤오핑	중화인민공화국	40
1968 년 문화 대 혁명 때 박해 를 받 기 시작 한 이래 , 여러 번 마오쩌둥 의 박해 를 받 기 도 했 지만 기적 적 으로 복귀 , 중화 인민지원군 총참모장 , 중화인민공화국 국무원 부총리 등 을 지냈 고 1981 년 부터 1983 년 까지 는 중화인민공화국 주석 직 에 있 었 다 . 	마오쩌둥	중화인민공화국	40
1949 년  중화인민공화국 정부 가 수립 되 기 전 까지 덩샤오핑 은 류보청 이 사단장 인 팔로군 129 사단 정치 위원 으로 일 했 다 . 	덩샤오핑	중화인민공화국	40
1981 년 명예 국가 주석 인 쑹칭링 이 죽 고 국가주석 직 부활 이 무산 되 자 그 는 임시 로 중화인민공화국 의 국가 원수 에 추대 되 었 다 . 	쑹칭링	중화인민공화국	40
그 뒤 1983 년 중화인민공화국 주석 이 부활 하 여 리셴녠 에게 주석 직 을 넘겼 지만 중화인민공화국 의 군사 위원회 와 당 군사 위원회 의 주석 직 을 그 가 차지 함 으로써 실권 은 그 가 쥐 고 있 었 다 . 	리셴녠	중화인민공화국	40
